,Song,Artist,Billboard Peak,Track_URI,Explicit,Album Name,Release Date,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Key,Mode,Time Signature,Duration(ms)
33,Heat Waves,Glass Animals,31,spotify:track:3USxtqRwSYz57Ewm6wWRMp,False,Dreamland,2020-08-07,84,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,0.531,80.87,N/A,Major,4,03:58
34,Hold On,Justin Bieber,4,spotify:track:4u4NyuceXP7Uzh7XFJKCr1,False,Hold On,2021-03-05,89,0.0106,0.658,0.634,0.0,0.132,-5.797,0.0413,0.29,139.98,C♯/D♭,Minor,4,02:50
35,Calling My Phone,Lil Tjay Featuring 6LACK,2,spotify:track:3J8EOeKLTLXORtWPpOU5bE,True,Destined 2 Win,2021-04-02,90,0.451,0.907,0.393,1.35e-06,0.135,-7.636,0.0539,0.202,104.949,E,Minor,4,03:25
36,Streets,Doja Cat,8,spotify:track:60ynsPSSKe6O3sfwRnIBRf,True,Hot Pink,2019-11-07,92,0.208,0.749,0.463,0.0371,0.337,-8.433,0.0828,0.19,90.028,N/A,Major,4,03:46
37,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,27,spotify:track:1EJIcDYXwSqipW5dFe4uJz,True,KHALED KHALED,2021-04-30,82,0.000866,0.477,0.727,0.0,0.108,-4.053,0.286,0.227,150.062,D,Major,4,03:56
38,Dance Monkey,Tones And I,16,spotify:track:2XU0oxnq2qxCpomAAuJY8K,False,Dance Monkey (Stripped Back) / Dance Monkey,2019-10-17,86,0.692,0.824,0.588,0.000104,0.149,-6.4,0.0924,0.513,98.027,F♯/G♭,Minor,4,03:29
39,El Makinon,Karol G & Mariah Angeliq,39,spotify:track:2FSGUA0gFgGeQdprjtGM2M,False,KG0516,2021-03-26,90,0.256,0.635,0.706,0.0,0.108,-3.224,0.125,0.443,88.863,F,Minor,4,03:29
40,Don't Start Now,Dua Lipa,30,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,False,Don't Start Now,2019-10-31,85,0.0125,0.794,0.793,0.0,0.0952,-4.521,0.0842,0.677,123.941,N/A,Minor,4,03:03
41,Watermelon Sugar,Harry Styles,9,spotify:track:6UelLqGlWMcVH1E5c4H7lY,False,Fine Line,2019-12-13,90,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,0.557,95.39,C,Major,4,02:54
42,We're Good,Dua Lipa,21,spotify:track:1diS6nkxMQc3wwC4G1j0bh,False,Future Nostalgia (The Moonlight Edition),2021-02-11,89,0.0319,0.722,0.588,0.0,0.183,-5.932,0.0544,0.59,134.01,F♯/G♭,Major,4,02:45
